ticker,model,quarter,p_high_filtered,p_high_smoothed,viterbi_state,caveat
AMD,B,2007Q1,0.27864355335180296,0.1420984351876566,0,
AMD,B,2007Q2,0.3001450502009919,0.14227724757898055,0,
AMD,B,2007Q3,0.31958036661536454,0.13878456283810234,0,
AMD,B,2007Q4,0.3371480516363742,0.13158470008426995,0,
AMD,B,2008Q1,0.35302757478986274,0.12060410631644353,0,
AMD,B,2008Q2,0.3673811595268736,0.10573060500398931,0,
AMD,B,2008Q3,0.3803554404804733,0.08681225010364631,0,
AMD,B,2008Q4,0.3920829614689337,0.06365577379557473,0,
AMD,B,2009Q1,0.40268352954871006,0.0360246120806933,0,
AMD,B,2009Q2,0.00044214121091847106,0.003636488069046043,0,
AMD,B,2009Q3,0.07085848077901456,0.41896971153964485,1,
AMD,B,2009Q4,0.1123270271135504,0.6955822977209468,1,
AMD,B,2010Q1,0.665187880303398,0.9740567132717857,1,
AMD,B,2010Q2,0.9792599363886871,0.9988033843031918,1,
AMD,B,2010Q3,0.9932491856142447,0.9995805549647322,1,
AMD,B,2010Q4,0.9951487027245662,0.9993691214991846,1,
AMD,B,2011Q1,0.9705804219201071,0.9956488310924699,1,
AMD,B,2011Q2,0.98518860071313,0.9924838721222558,1,
AMD,B,2011Q3,0.9887661777772876,0.9705754210835631,1,
AMD,B,2011Q4,0.9907355268084224,0.8430858081924959,1,
AMD,B,2012Q1,2.4223718868527024e-109,6.379953322461906e-110,0,
AMD,B,2012Q2,0.17897768005983555,0.01083392119329995,0,
AMD,B,2012Q3,1.3015030336635534e-13,6.539096275297544e-15,0,
AMD,B,2012Q4,3.063421587724173e-54,1.7185098226498255e-55,0,
AMD,B,2013Q1,0.0057882825982574675,0.0002976227046351637,0,
AMD,B,2013Q2,0.001006030878686228,5.0594492155309945e-05,0,
AMD,B,2013Q3,5.040845147969495e-07,2.5326617157830226e-08,0,
AMD,B,2013Q4,1.257604648551964e-07,6.3185516013704525e-09,0,
AMD,B,2014Q1,9.409114675336515e-08,4.727392049695367e-09,0,
AMD,B,2014Q2,3.198449827246818e-08,1.606986436028083e-09,0,
AMD,B,2014Q3,1.2706218859993625e-08,6.383941279744192e-10,0,
AMD,B,2014Q4,1.2531247566218649e-17,6.296030986200816e-19,0,
AMD,B,2015Q1,4.458791341616453e-13,2.240214974546047e-14,0,
AMD,B,2015Q2,2.972375720794952e-27,1.4934003611133655e-28,0,
AMD,B,2015Q3,1.576197524372012e-32,7.919234219332073e-34,0,
AMD,B,2015Q4,1.0160919433657811e-16,5.105115294499725e-18,0,
AMD,B,2016Q1,5.9014003584046616e-12,2.965019988801246e-13,0,
AMD,B,2016Q2,1.1035512191759814e-13,5.544533881416242e-15,0,
AMD,B,2016Q3,7.026525859477511e-98,3.530312868089459e-99,0,
AMD,B,2016Q4,1.4745410890533593e-14,7.408485338723797e-16,0,
AMD,B,2017Q1,1.5801925007114696e-18,7.939320701433149e-20,0,
AMD,B,2017Q2,9.386853356141555e-08,4.716431153307575e-09,0,
AMD,B,2017Q3,2.4285182429645973e-06,1.2279348321476702e-07,0,
AMD,B,2017Q4,0.00032398695204736516,1.6285296886964097e-05,0,
AMD,B,2018Q1,7.278855448912737e-06,3.6669642737831104e-07,0,
AMD,B,2018Q2,0.00012854713554275856,6.878982136060057e-06,0,
AMD,B,2018Q3,0.0032803187591982194,0.00016634117212598615,0,
AMD,B,2018Q4,7.125552108438007e-05,1.668370348197591e-05,0,
AMD,B,2019Q1,0.006945780275889739,0.009360079592233785,0,
AMD,B,2019Q2,0.005511839359987508,0.07452942393916936,0,
AMD,B,2019Q3,0.13817525777850773,0.7556387036035354,1,
AMD,B,2019Q4,0.9051733468144028,0.9945432823142536,1,
AMD,B,2020Q1,0.9954298836106407,0.999741728506554,1,
AMD,B,2020Q2,0.9941250862624306,0.9996940248652711,1,
AMD,B,2020Q3,0.9988133947187477,0.99993868950582,1,
AMD,B,2020Q4,0.9990775240312046,0.9999531548703875,1,
AMD,B,2021Q1,0.9999642222880658,0.9999981849354201,1,
AMD,B,2021Q2,0.999973153494559,0.9999985941594721,1,
AMD,B,2021Q3,0.9986204462459226,0.9999162169118878,1,
AMD,B,2021Q4,0.9900047641383086,0.9994850081340205,1,
AMD,B,2022Q1,0.9996056760241008,0.9999798706813938,1,
AMD,B,2022Q2,0.9997760435491784,0.9999834268019218,1,
AMD,B,2022Q3,0.9844322632323181,0.998821930901253,1,
AMD,B,2022Q4,0.9792831594819978,0.9984203073234036,1,
AMD,B,2023Q1,0.9766962633272737,0.9982785039202803,1,
AMD,B,2023Q2,0.9814939902555806,0.9984000700455465,1,
AMD,B,2023Q3,0.9876276816687138,0.9976284920826768,1,
AMD,B,2023Q4,0.9912699872197233,0.9912699872197233,1,
AMD,C,2005Q1,2.929574198149157e-05,1.1273454786414937e-05,0,"descriptive Step-4 analysis (filing-dated patents, as_filed financials, full-sample parameters); filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
AMD,C,2005Q2,0.06121045316525933,0.01567976350051597,0,
AMD,C,2005Q3,0.10121750603227202,0.021681240796245907,0,
AMD,C,2005Q4,0.09797812006485218,0.023305729662902643,0,
AMD,C,2006Q1,0.04780293601577326,0.026153689136942788,0,
AMD,C,2006Q2,0.08415198353151686,0.045944322329334736,0,
AMD,C,2006Q3,0.11007771827450843,0.06301461053722765,0,
AMD,C,2006Q4,0.18751425817267614,0.07926034531203152,0,
AMD,C,2007Q1,0.20733867941899942,0.08329887194515238,0,
AMD,C,2007Q2,0.33854339669896105,0.08490423800780011,0,
AMD,C,2007Q3,0.3488636628687308,0.06861547819520457,0,
AMD,C,2007Q4,0.3117113216192594,0.049048701949469115,0,
AMD,C,2008Q1,0.1855136116136877,0.0317139157986536,0,
AMD,C,2008Q2,0.17784231394252248,0.02568479020209217,0,
AMD,C,2008Q3,0.17605107087126837,0.01914103907395077,0,
AMD,C,2008Q4,0.1321825793122745,0.01127095196169238,0,
AMD,C,2009Q1,0.10174840938522892,0.005434502790386637,0,
AMD,C,2009Q2,3.30755269222096e-05,0.00016050401677161207,0,
AMD,C,2009Q3,0.037116442138296867,0.223214545229561,0,
AMD,C,2009Q4,0.0505259569584827,0.4893807779338566,0,
AMD,C,2010Q1,0.35247390354420566,0.9149323710139843,1,
AMD,C,2010Q2,0.8723910764348186,0.9925813826714502,1,
AMD,C,2010Q3,0.9829735371071144,0.9990801528970723,1,
AMD,C,2010Q4,0.9987080060663708,0.9995581506490069,1,
AMD,C,2011Q1,0.9138309779591037,0.9856419543016791,1,
AMD,C,2011Q2,0.9499578965422091,0.9848781626205944,1,
AMD,C,2011Q3,0.967053755513948,0.9758249622591674,1,
AMD,C,2011Q4,0.9973042661197157,0.9458668896065181,1,
AMD,C,2012Q1,4.4273751843993615e-114,5.5851763695118015e-115,0,
AMD,C,2012Q2,0.07222819594324471,0.00366343128631983,0,
AMD,C,2012Q3,2.8612290230734944e-14,1.351353601200428e-15,0,
AMD,C,2012Q4,3.739254489976155e-55,1.8402565959562286e-56,0,
AMD,C,2013Q1,0.0018961144688344022,9.21276644880599e-05,0,
AMD,C,2013Q2,0.0012977786420393853,6.136994364045992e-05,0,
AMD,C,2013Q3,1.5267857577656212e-07,7.210987430929983e-09,0,
AMD,C,2013Q4,2.0700391278325695e-08,9.776763487515032e-10,0,
AMD,C,2014Q1,1.7573339049941963e-08,8.299859284720575e-10,0,
AMD,C,2014Q2,5.60009943904428e-09,2.64491758490436e-10,0,
AMD,C,2014Q3,2.288860121561152e-09,1.0810247448623536e-10,0,
AMD,C,2014Q4,1.3735023244713253e-18,6.48702811786442e-20,0,
AMD,C,2015Q1,3.483363323496557e-14,1.6451865731601214e-15,0,
AMD,C,2015Q2,1.2307738851876165e-28,5.812924126657248e-30,0,
AMD,C,2015Q3,2.3181276522222096e-34,1.0948477474576335e-35,0,
AMD,C,2015Q4,6.849759591345713e-18,3.235129804909508e-19,0,
AMD,C,2016Q1,4.792975073856799e-13,2.263713975460896e-14,0,
AMD,C,2016Q2,2.332435095306088e-14,1.1016051284920175e-15,0,
AMD,C,2016Q3,1.6271005482394167e-101,7.684768215501165e-103,0,
AMD,C,2016Q4,4.058238828722003e-15,1.9166992965259966e-16,0,
AMD,C,2017Q1,1.2702388150072707e-19,5.999319101296983e-21,0,
AMD,C,2017Q2,2.15276289437675e-08,1.016756609168695e-09,0,
AMD,C,2017Q3,4.633377993946435e-07,2.2284250117922795e-08,0,
AMD,C,2017Q4,0.0008496360861076344,4.016151954572059e-05,0,
AMD,C,2018Q1,9.891343354549108e-07,4.6770455720790605e-08,0,
AMD,C,2018Q2,5.0260489760986e-05,2.5231909013116405e-06,0,
AMD,C,2018Q3,0.0029053764897984846,0.00013801559282213314,0,
AMD,C,2018Q4,9.211089310125332e-05,7.015379605004624e-06,0,
AMD,C,2019Q1,0.0019165605785861665,0.0013453744072830151,0,
AMD,C,2019Q2,0.0020691866664349465,0.03159051954193154,0,
AMD,C,2019Q3,0.11534911102100667,0.7366579570140368,1,
AMD,C,2019Q4,0.9687835696395691,0.9983220379126748,1,
AMD,C,2020Q1,0.9922364394165344,0.9995353851922372,1,
AMD,C,2020Q2,0.9847533093038532,0.9992780294498669,1,
AMD,C,2020Q3,0.9995314203176846,0.99997820794927,1,
AMD,C,2020Q4,0.9998263020932728,0.9999919462129895,1,
AMD,C,2021Q1,0.9999573636137901,0.999998023418946,1,
AMD,C,2021Q2,0.9999597153798521,0.9999981150280208,1,
AMD,C,2021Q3,0.999520428272065,0.9999776296446566,1,
AMD,C,2021Q4,0.9996864341733688,0.9999852805400907,1,
AMD,C,2022Q1,0.9993732924424068,0.9999708974705788,1,
AMD,C,2022Q2,0.9999130912689146,0.9999955838480074,1,
AMD,C,2022Q3,0.9955432175494779,0.9997869816712249,1,
AMD,C,2022Q4,0.9988352613636525,0.9999338808144095,1,
AMD,C,2023Q1,0.990026271343148,0.9994962094747019,1,
AMD,C,2023Q2,0.9956832848946388,0.9997867089688914,1,
AMD,C,2023Q3,0.9975512040406298,0.999850663228321,1,
AMD,C,2023Q4,0.9992767988129839,0.9992767988129839,1,
MRVL,B,2005Q1,0.02599549096197671,0.02456104996591022,0,"descriptive Step-4 analysis (filing-dated patents, as_filed financials, full-sample parameters); filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
MRVL,B,2005Q2,0.06322193714770805,0.05914526914072166,0,
MRVL,B,2005Q3,0.09386092689125317,0.08674784730501188,0,
MRVL,B,2005Q4,0.11907815251148657,0.10841895333238054,0,
MRVL,B,2006Q1,0.13983302965673336,0.12498308705291813,0,
MRVL,B,2006Q2,0.1569151992737057,0.13707044820912354,0,
MRVL,B,2006Q3,0.17097457032085453,0.14514091306235843,0,
MRVL,B,2006Q4,0.18254604623249815,0.14950153086483245,0,
MRVL,B,2007Q1,0.19206987587784366,0.15031820586862926,0,
MRVL,B,2007Q2,0.19990840328836132,0.14762200932598865,0,
MRVL,B,2007Q3,0.20635985341435803,0.14131036162753208,0,
MRVL,B,2007Q4,0.21166967840423767,0.1311431295540088,0,
MRVL,B,2008Q1,0.21603989608747437,0.11673349015755148,0,
MRVL,B,2008Q2,0.2196367759536237,0.09753321367918799,0,
MRVL,B,2008Q3,0.22259716504845903,0.07281180557590715,0,
MRVL,B,2008Q4,0.22503369446254876,0.04162871409391527,0,
MRVL,B,2009Q1,0.00046093226146492805,0.002797545996242483,0,
MRVL,B,2009Q2,0.022605895482330156,0.2913050731524176,0,
MRVL,B,2009Q3,0.31539460718400997,0.899405668232817,1,
MRVL,B,2009Q4,0.8922666462756089,0.9933743315888044,1,
MRVL,B,2010Q1,0.9667097746821282,0.998198840305349,1,
MRVL,B,2010Q2,0.9862994802481058,0.9992881786137386,1,
MRVL,B,2010Q3,0.9915201158482643,0.9995450300031455,1,
MRVL,B,2010Q4,0.9895305114720814,0.9992683035935647,1,
MRVL,B,2011Q1,0.9851086245949044,0.9968202192397787,1,
MRVL,B,2011Q2,0.9816479825133445,0.9745081369246891,1,
MRVL,B,2011Q3,0.9551917188976796,0.7882911709509612,1,
MRVL,B,2011Q4,0.5056642163063021,0.15320991347315097,0,
MRVL,B,2012Q1,0.18207260183116125,0.03274296831125257,0,
MRVL,B,2012Q2,0.02005383218453834,0.0029139940423843617,0,
MRVL,B,2012Q3,0.0008488186468561384,0.00012314127380203707,0,
MRVL,B,2012Q4,0.0010482165882756552,0.00019519163769647413,0,
MRVL,B,2013Q1,0.015363644615960653,0.0022395983636792,0,
MRVL,B,2013Q2,0.0012856362843413633,0.00018163697932725408,0,
