ticker,label,section,harmonized_name,application_count,reason
MU,Micron,excluded,MICRON SPRAYERS LTD,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIX INC,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON BIOMEDICAL INC,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONET CO LTD,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON PURE LLC,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON SHIGA INC,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON IND CORP,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONYX INC,3,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC B V,3,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON EAGLE HYDRAULICS INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON SYSTEMS,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONEL SAFETY INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONETIXX TECHNOLOGIES LLC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONET KK,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON MED PROD INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONAS SEMICONDUCTOR HOLDING,2,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRONAIR INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONAV LTD,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOTES INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONEXT B V,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON ENG INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC INTERFACE TECHNOLOGIE,2,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONIC TECHNOLOGIES INC,2,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON KIKI CO LTD,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONISERS PTY LTD,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON FORCE INSTR INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON FRESAR S R L,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIX PTY LTD,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONET TECHNOLOGY INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONICS L L C,2,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONOX INC,2,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONICS,2,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON EYEWEAR MANUFACTORY COMPANY LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON PRODUCTS INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON AGRITECH LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON DI BIANCHINI DOTTOR PIE,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONAS INTERMETTAL GMBH,1,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRON MEDICAL PRODUCTS,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON INC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONTEL S P A,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONBRANE MEDICAL CO LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON 3DP,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOISE LTD,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOTES LLC,1,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC IND INC,1,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
