ticker,concept,fy_start,fy_end,fy_value,n_quarters_found,derived,deviation_pct,status
AMD,cost_of_revenue,2021-12-26,2022-12-31,12998000000.0,3,True,,ok
AMD,cost_of_revenue,2023-01-01,2023-12-30,12220000000.0,3,True,,ok
AMD,cost_of_revenue,2023-12-31,2024-12-28,13060000000.0,3,True,,ok
AMD,cost_of_revenue,2024-12-29,2025-12-27,17487000000.0,3,True,,ok
AMD,gross_profit,2007-12-30,2008-12-27,2320000000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
AMD,gross_profit,2008-12-28,2009-12-26,2272000000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
AMD,gross_profit,2009-12-27,2010-12-25,2961000000.0,4,True,0.0,ok
AMD,gross_profit,2010-12-26,2011-12-31,2940000000.0,4,True,0.0,ok
AMD,gross_profit,2012-01-01,2012-12-29,1235000000.0,4,True,0.0,ok
AMD,gross_profit,2012-12-30,2013-12-28,1978000000.0,4,True,0.0,ok
AMD,gross_profit,2013-12-29,2014-12-27,1839000000.0,4,True,0.0,ok
AMD,gross_profit,2014-12-28,2015-12-26,1080000000.0,4,True,0.0,ok
AMD,gross_profit,2015-12-27,2016-12-31,998000000.0,4,True,-1.404494382022472,direct Q4 fact deviates from derived Q4
AMD,gross_profit,2017-01-01,2017-12-30,1823000000.0,4,True,0.0,ok
AMD,gross_profit,2017-12-31,2018-12-29,2447000000.0,4,True,0.0,ok
AMD,gross_profit,2018-12-30,2019-12-28,2868000000.0,4,True,0.0,ok
AMD,gross_profit,2019-12-29,2020-12-26,4347000000.0,4,True,0.0,ok
AMD,gross_profit,2020-12-27,2021-12-25,7929000000.0,3,True,,ok
AMD,gross_profit,2021-12-26,2022-12-31,10603000000.0,3,True,,ok
AMD,gross_profit,2023-01-01,2023-12-30,10460000000.0,3,True,,ok
AMD,gross_profit,2023-12-31,2024-12-28,12725000000.0,3,True,,ok
AMD,gross_profit,2024-12-29,2025-12-27,17152000000.0,3,True,,ok
AMD,operating_income,2007-12-30,2008-12-27,-1955000000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
AMD,operating_income,2008-12-28,2009-12-26,664000000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
AMD,operating_income,2009-12-27,2010-12-25,848000000.0,4,True,0.0,ok
AMD,operating_income,2010-12-26,2011-12-31,368000000.0,4,True,0.0,ok
AMD,operating_income,2012-01-01,2012-12-29,-1056000000.0,4,True,0.0,ok
AMD,operating_income,2012-12-30,2013-12-28,103000000.0,4,True,0.0,ok
AMD,operating_income,2013-12-29,2014-12-27,-155000000.0,4,True,0.0,derived Q4 implausibly large vs Q1-Q3
AMD,operating_income,2014-12-28,2015-12-26,-481000000.0,4,True,0.0,ok
AMD,operating_income,2015-12-27,2016-12-31,-372000000.0,4,True,25.0,direct Q4 fact deviates from derived Q4
AMD,operating_income,2017-01-01,2017-12-30,204000000.0,4,True,0.0,ok
AMD,operating_income,2017-12-31,2018-12-29,451000000.0,4,True,0.0,ok
AMD,operating_income,2018-12-30,2019-12-28,631000000.0,4,True,0.0,ok
AMD,operating_income,2019-12-29,2020-12-26,1369000000.0,4,True,0.0,ok
AMD,operating_income,2020-12-27,2021-12-25,3648000000.0,3,True,,ok
AMD,operating_income,2021-12-26,2022-12-31,1264000000.0,3,True,,ok
AMD,operating_income,2023-01-01,2023-12-30,401000000.0,3,True,,ok
AMD,operating_income,2023-12-31,2024-12-28,1900000000.0,3,True,,ok
AMD,operating_income,2024-12-29,2025-12-27,3694000000.0,3,True,,ok
MRVL,revenue,2007-01-28,2008-02-02,2894693000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
MRVL,revenue,2008-02-03,2009-01-31,2950563000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
MRVL,revenue,2009-02-01,2010-01-30,2807687000.0,4,True,0.0,ok
MRVL,revenue,2010-01-31,2011-01-29,3611893000.0,4,True,0.0,ok
MRVL,revenue,2011-01-30,2012-01-28,3393040000.0,4,True,0.0,ok
MRVL,revenue,2012-01-29,2013-02-02,3168630000.0,4,True,0.0,ok
MRVL,revenue,2013-02-03,2014-02-01,3404400000.0,4,True,0.0,ok
MRVL,revenue,2014-02-02,2015-01-31,3706963000.0,4,True,8.855838871644481,direct Q4 fact deviates from derived Q4
MRVL,revenue,2015-02-01,2016-01-30,2725828000.0,4,True,25.025211686859688,direct Q4 fact deviates from derived Q4
MRVL,revenue,2016-01-31,2017-01-28,2317674000.0,3,True,,ok
MRVL,revenue,2017-01-29,2018-02-03,2409170000.0,3,True,,ok
MRVL,revenue,2018-02-04,2019-02-02,2865791000.0,3,True,,ok
MRVL,revenue,2019-02-03,2020-02-01,2699161000.0,3,True,,ok
MRVL,revenue,2020-02-02,2021-01-30,2968900000.0,3,True,,ok
MRVL,revenue,2021-01-31,2022-01-29,4462383000.0,3,True,,ok
MRVL,revenue,2022-01-30,2023-01-28,5919600000.0,3,True,,ok
MRVL,revenue,2023-01-29,2024-02-03,5507700000.0,3,True,,ok
MRVL,revenue,2024-02-04,2025-02-01,5767300000.0,3,True,,ok
MRVL,revenue,2025-02-02,2026-01-31,8194600000.0,3,True,,ok
MRVL,cost_of_revenue,2007-01-28,2008-02-02,1497796000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
MRVL,cost_of_revenue,2008-02-03,2009-01-31,1426624000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
MRVL,cost_of_revenue,2009-02-01,2010-01-30,1227096000.0,3,True,,ok
MRVL,cost_of_revenue,2010-01-31,2011-01-29,1473274000.0,3,True,,ok
MRVL,cost_of_revenue,2011-01-30,2012-01-28,1465805000.0,3,True,,ok
MRVL,cost_of_revenue,2012-01-29,2013-02-02,1493497000.0,3,True,,ok
MRVL,cost_of_revenue,2013-02-03,2014-02-01,1663730000.0,3,True,,ok
MRVL,cost_of_revenue,2014-02-02,2015-01-31,1843706000.0,3,True,,ok
MRVL,cost_of_revenue,2015-02-01,2016-01-30,1494736000.0,3,True,,ok
MRVL,cost_of_revenue,2016-01-31,2017-01-28,1017564000.0,3,True,,ok
MRVL,cost_of_revenue,2017-01-29,2018-02-03,947230000.0,3,True,,ok
MRVL,cost_of_revenue,2018-02-04,2019-02-02,1407399000.0,3,True,,ok
MRVL,cost_of_revenue,2019-02-03,2020-02-01,1342220000.0,3,True,,ok
MRVL,cost_of_revenue,2020-02-02,2021-01-30,1480550000.0,3,True,,ok
MRVL,cost_of_revenue,2021-01-31,2022-01-29,2398158000.0,3,True,,ok
MRVL,cost_of_revenue,2022-01-30,2023-01-28,2932100000.0,3,True,,ok
MRVL,cost_of_revenue,2023-01-29,2024-02-03,3214100000.0,3,True,,ok
MRVL,cost_of_revenue,2024-02-04,2025-02-01,3385100000.0,3,True,,ok
MRVL,cost_of_revenue,2025-02-02,2026-01-31,4013900000.0,3,True,,ok
MRVL,gross_profit,2015-02-01,2016-01-30,1196376000.0,4,True,12.450507832673438,direct Q4 fact deviates from derived Q4
MRVL,gross_profit,2016-01-31,2017-01-28,1283428000.0,3,True,,ok
MRVL,gross_profit,2017-01-29,2018-02-03,1461940000.0,3,True,,ok
MRVL,gross_profit,2018-02-04,2019-02-02,1458392000.0,3,True,,ok
MRVL,gross_profit,2019-02-03,2020-02-01,1356941000.0,3,True,,ok
MRVL,gross_profit,2020-02-02,2021-01-30,1488350000.0,3,True,,ok
MRVL,gross_profit,2021-01-31,2022-01-29,2064225000.0,3,True,,ok
MRVL,gross_profit,2022-01-30,2023-01-28,2987500000.0,3,True,,ok
MRVL,gross_profit,2023-01-29,2024-02-03,2293600000.0,3,True,,ok
MRVL,gross_profit,2024-02-04,2025-02-01,2382200000.0,3,True,,ok
MRVL,gross_profit,2025-02-02,2026-01-31,4180700000.0,3,True,,ok
MRVL,operating_income,2007-01-28,2008-02-02,-105590000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
MRVL,operating_income,2008-02-03,2009-01-31,165176000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
MRVL,operating_income,2009-02-01,2010-01-30,334115000.0,3,True,,ok
MRVL,operating_income,2010-01-31,2011-01-29,901192000.0,3,True,,ok
MRVL,operating_income,2011-01-30,2012-01-28,604146000.0,3,True,,ok
MRVL,operating_income,2012-01-29,2013-02-02,294657000.0,3,True,,ok
MRVL,operating_income,2013-02-03,2014-02-01,280691000.0,3,True,,ok
MRVL,operating_income,2014-02-02,2015-01-31,408819000.0,3,True,,ok
MRVL,operating_income,2015-02-01,2016-01-30,-816739000.0,3,True,,ok
MRVL,operating_income,2016-01-31,2017-01-28,99994000.0,3,True,,ok
MRVL,operating_income,2017-01-29,2018-02-03,429695000.0,3,True,,ok
MRVL,operating_income,2018-02-04,2019-02-02,43270000.0,3,True,,ok
MRVL,operating_income,2019-02-03,2020-02-01,-243358000.0,3,True,,ok
MRVL,operating_income,2020-02-02,2021-01-30,-258389000.0,3,True,,ok
MRVL,operating_income,2021-01-31,2022-01-29,-347668000.0,3,True,,ok
MRVL,operating_income,2022-01-30,2023-01-28,238000000.0,3,True,,ok
MRVL,operating_income,2023-01-29,2024-02-03,-567700000.0,3,True,,ok
MRVL,operating_income,2024-02-04,2025-02-01,-720300000.0,3,True,,ok
MRVL,operating_income,2025-02-02,2026-01-31,1322900000.0,3,True,,ok
MU,revenue,2008-08-29,2009-09-03,4803000000.0,1,False,,cannot derive Q4 (1 early quarters inside FY)
MU,revenue,2009-09-04,2010-09-02,8482000000.0,4,True,0.0,ok
MU,revenue,2010-09-03,2011-09-01,8788000000.0,4,True,0.0,ok
MU,revenue,2011-09-02,2012-08-30,8234000000.0,4,True,0.0,ok
MU,revenue,2012-08-31,2013-08-29,9073000000.0,4,True,0.0,ok
MU,revenue,2013-08-30,2014-08-28,16358000000.0,4,True,0.0,ok
MU,revenue,2014-08-29,2015-09-03,16192000000.0,4,True,0.0,ok
MU,revenue,2015-09-04,2016-09-01,12399000000.0,4,True,0.0,ok
MU,revenue,2016-09-02,2017-08-31,20322000000.0,4,True,0.0,ok
MU,revenue,2017-09-01,2018-08-30,30391000000.0,4,True,0.0,ok
MU,revenue,2018-08-31,2019-08-29,23406000000.0,4,True,0.0,ok
MU,revenue,2019-08-30,2020-09-03,21435000000.0,4,True,0.0,ok
MU,revenue,2020-09-04,2021-09-02,27705000000.0,3,True,,ok
MU,revenue,2021-09-03,2022-09-01,30758000000.0,3,True,,ok
MU,revenue,2022-09-02,2023-08-31,15540000000.0,3,True,,ok
MU,revenue,2023-09-01,2024-08-29,25111000000.0,3,True,,ok
MU,revenue,2024-08-30,2025-08-28,37378000000.0,3,True,,ok
MU,cost_of_revenue,2008-08-29,2009-09-03,5243000000.0,1,False,,cannot derive Q4 (1 early quarters inside FY)
MU,cost_of_revenue,2009-09-04,2010-09-02,5768000000.0,3,True,,ok
MU,cost_of_revenue,2010-09-03,2011-09-01,7030000000.0,3,True,,ok
MU,cost_of_revenue,2011-09-02,2012-08-30,7266000000.0,3,True,,ok
MU,cost_of_revenue,2012-08-31,2013-08-29,7226000000.0,3,True,,ok
MU,cost_of_revenue,2013-08-30,2014-08-28,10921000000.0,3,True,,ok
MU,cost_of_revenue,2014-08-29,2015-09-03,10977000000.0,3,True,,ok
MU,cost_of_revenue,2015-09-04,2016-09-01,9894000000.0,3,True,,ok
MU,cost_of_revenue,2016-09-02,2017-08-31,11886000000.0,3,True,,ok
MU,cost_of_revenue,2017-09-01,2018-08-30,12500000000.0,3,True,,ok
MU,cost_of_revenue,2018-08-31,2019-08-29,12704000000.0,3,True,,ok
MU,cost_of_revenue,2019-08-30,2020-09-03,14883000000.0,3,True,,ok
MU,cost_of_revenue,2020-09-04,2021-09-02,17282000000.0,3,True,,ok
MU,cost_of_revenue,2021-09-03,2022-09-01,16860000000.0,3,True,,ok
MU,cost_of_revenue,2022-09-02,2023-08-31,16956000000.0,3,True,,ok
MU,cost_of_revenue,2023-09-01,2024-08-29,19498000000.0,3,True,,ok
MU,cost_of_revenue,2024-08-30,2025-08-28,22505000000.0,3,True,,ok
MU,gross_profit,2008-08-29,2009-09-03,-440000000.0,1,False,,cannot derive Q4 (1 early quarters inside FY)
MU,gross_profit,2009-09-04,2010-09-02,2714000000.0,4,True,0.0,ok
MU,gross_profit,2010-09-03,2011-09-01,1758000000.0,4,True,0.0,ok
MU,gross_profit,2011-09-02,2012-08-30,968000000.0,4,True,0.0,ok
MU,gross_profit,2012-08-31,2013-08-29,1847000000.0,4,True,0.0,ok
MU,gross_profit,2013-08-30,2014-08-28,5437000000.0,4,True,0.0,ok
MU,gross_profit,2014-08-29,2015-09-03,5215000000.0,4,True,0.0,ok
MU,gross_profit,2015-09-04,2016-09-01,2505000000.0,4,True,0.0,ok
MU,gross_profit,2016-09-02,2017-08-31,8436000000.0,4,True,0.0,ok
MU,gross_profit,2017-09-01,2018-08-30,17891000000.0,4,True,0.0,ok
MU,gross_profit,2018-08-31,2019-08-29,10702000000.0,4,True,0.0,ok
MU,gross_profit,2019-08-30,2020-09-03,6552000000.0,4,True,0.0,ok
MU,gross_profit,2020-09-04,2021-09-02,10423000000.0,3,True,,ok
MU,gross_profit,2021-09-03,2022-09-01,13898000000.0,3,True,,ok
MU,gross_profit,2022-09-02,2023-08-31,-1416000000.0,3,True,,ok
MU,gross_profit,2023-09-01,2024-08-29,5613000000.0,3,True,,ok
MU,gross_profit,2024-08-30,2025-08-28,14873000000.0,3,True,,ok
MU,operating_income,2008-08-29,2009-09-03,-1676000000.0,1,False,,cannot derive Q4 (1 early quarters inside FY)
MU,operating_income,2009-09-04,2010-09-02,1589000000.0,4,True,0.0,ok
MU,operating_income,2010-09-03,2011-09-01,755000000.0,4,True,-13.333333333333334,direct Q4 fact deviates from derived Q4
MU,operating_income,2011-09-02,2012-08-30,-618000000.0,4,True,0.0,ok
MU,operating_income,2012-08-31,2013-08-29,236000000.0,4,True,0.0,ok
MU,operating_income,2013-08-30,2014-08-28,3087000000.0,4,True,0.0,ok
MU,operating_income,2014-08-29,2015-09-03,2998000000.0,4,True,0.0,ok
MU,operating_income,2015-09-04,2016-09-01,168000000.0,4,True,0.0,ok
MU,operating_income,2016-09-02,2017-08-31,5868000000.0,4,True,0.0,ok
MU,operating_income,2017-09-01,2018-08-30,14994000000.0,4,True,0.0,ok
MU,operating_income,2018-08-31,2019-08-29,7376000000.0,4,True,0.0,ok
MU,operating_income,2019-08-30,2020-09-03,3003000000.0,4,True,0.0,ok
MU,operating_income,2020-09-04,2021-09-02,6283000000.0,3,True,,ok
MU,operating_income,2021-09-03,2022-09-01,9702000000.0,3,True,,ok
MU,operating_income,2022-09-02,2023-08-31,-5745000000.0,3,True,,ok
MU,operating_income,2023-09-01,2024-08-29,1304000000.0,3,True,,ok
MU,operating_income,2024-08-30,2025-08-28,9770000000.0,3,True,,ok
