ticker,quarter,patent_filing_count,p_high_filtered,p_high_smoothed,viterbi_state,caveat
AMD,2005Q1,68,6.321583944351917e-11,6.086831950213665e-16,0,"filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
AMD,2005Q2,82,0.01802569393977467,1.1062393081622964e-07,0,
AMD,2005Q3,71,0.02438783275725045,1.1363488593172542e-07,0,
AMD,2005Q4,58,0.01712320156685141,7.487489855605165e-08,0,
AMD,2006Q1,33,0.005024567634745143,5.2750796229089015e-08,0,
AMD,2006Q2,69,0.013906808155788732,1.627235074621873e-07,0,
AMD,2006Q3,67,0.01822524501678278,2.655642347333215e-07,0,
AMD,2006Q4,81,0.03663807832246909,4.005847682229728e-07,0,
AMD,2007Q1,69,0.03492280399322581,4.2224048833484983e-07,0,
AMD,2007Q2,88,0.07123344786743686,4.670962767960367e-07,0,
AMD,2007Q3,70,0.06076599517829781,3.1243801466191893e-07,0,
AMD,2007Q4,63,0.040458191445795336,1.7022823094551797e-07,0,
AMD,2008Q1,45,0.014229471318763126,7.663000428205324e-08,0,
AMD,2008Q2,63,0.015657151318688518,7.881584213282439e-08,0,
AMD,2008Q3,64,0.01708216125025162,7.133698222531755e-08,0,
AMD,2008Q4,53,0.011403348355248654,4.6236909865106076e-08,0,
AMD,2009Q1,52,0.009047867419656094,3.5490909262067935e-08,0,
AMD,2009Q2,47,0.0067309623269295,2.9341803729199295e-08,0,
AMD,2009Q3,54,0.008138030201147598,3.6685986498086194e-08,0,
AMD,2009Q4,55,0.009005384391043808,4.2409386637712806e-08,0,
AMD,2010Q1,46,0.00644894418245576,4.8865308035351244e-08,0,
AMD,2010Q2,45,0.005552568059951088,1.0820313875360152e-07,0,
AMD,2010Q3,72,0.016107021024322574,3.597650066210304e-07,0,
AMD,2010Q4,119,0.146408932386085,6.235745471012809e-07,0,
AMD,2011Q1,30,0.024409107072201088,1.716814172722682e-07,0,
AMD,2011Q2,47,0.010938115322383696,1.699451541528708e-07,0,
AMD,2011Q3,48,0.007547113847946006,3.4237361377339354e-07,0,
AMD,2011Q4,121,0.11962422423243227,9.990590308077792e-07,0,
AMD,2012Q1,27,0.0175849232665494,7.036361575675828e-07,0,
AMD,2012Q2,39,0.0065222208332172005,1.2408459934628374e-06,0,
AMD,2012Q3,85,0.028468044875402367,4.205941481769931e-06,0,
AMD,2012Q4,161,0.5769367764976921,6.381073566922003e-06,0,
AMD,2013Q1,41,0.224887069067504,2.7030504396946364e-06,0,
AMD,2013Q2,92,0.34673066315284257,2.0194877486204274e-06,0,
AMD,2013Q3,52,0.15342173016893185,5.93141913752412e-07,0,
AMD,2013Q4,35,0.03134615526599558,1.0904533012908381e-07,0,
AMD,2014Q1,39,0.009277618364142707,3.142388761009177e-08,0,
AMD,2014Q2,38,0.0046915449791895105,1.612849001100156e-08,0,
AMD,2014Q3,39,0.003996335792488944,1.454075746865745e-08,0,
AMD,2014Q4,49,0.0058284470181638294,1.810045189183388e-08,0,
AMD,2015Q1,24,0.0022718800739921063,8.035826597595023e-09,0,
AMD,2015Q2,45,0.0045175488942528815,1.479557510140522e-08,0,
AMD,2015Q3,26,0.0023182820732142364,1.1102498992555556e-08,0,
AMD,2015Q4,30,0.002440362339744071,3.773447917756371e-08,0,
AMD,2016Q1,22,0.0017657608531210579,2.3451741768683036e-07,0,
AMD,2016Q2,60,0.008138458216938036,2.3090869373699882e-06,0,
AMD,2016Q3,81,0.025946825398977986,6.74941349076833e-06,0,
AMD,2016Q4,72,0.03131821601059006,1.0690595724368486e-05,0,
AMD,2017Q1,44,0.011378031838269943,1.585387285285707e-05,0,
AMD,2017Q2,45,0.006782373888810922,3.783669369714934e-05,0,
AMD,2017Q3,35,0.0037335368385286926,0.00012649777198092617,0,
AMD,2017Q4,116,0.08462404856703973,0.0006669485124178304,0,
AMD,2018Q1,23,0.010716356624424661,0.0007821742969247121,0,
AMD,2018Q2,56,0.010389526692612805,0.0019383162638562,0,
AMD,2018Q3,76,0.023163166718205924,0.0048945852551014035,0,
AMD,2018Q4,94,0.06960333205365664,0.008199705314827947,0,
AMD,2019Q1,35,0.014682382644783111,0.009954543853895948,0,
AMD,2019Q2,49,0.008969305329181065,0.02065147156323751,0,
AMD,2019Q3,70,0.01718964626736938,0.05718905898963373,0,
AMD,2019Q4,116,0.13550344666783434,0.10954625635243354,0,
AMD,2020Q1,30,0.022528889610625394,0.12073691788551973,0,
AMD,2020Q2,39,0.007504971860613787,0.2046182118740622,0,
AMD,2020Q3,106,0.06797246580467733,0.6379143954385316,1,
AMD,2020Q4,124,0.3668193784574857,0.7779760602533705,1,
AMD,2021Q1,62,0.22982848172688983,0.7994789262949228,1,
AMD,2021Q2,55,0.10553214433735636,0.8423782644500905,1,
AMD,2021Q3,104,0.2762107168942588,0.956705156650577,1,
AMD,2021Q4,186,0.9711448458473708,0.9968482681402409,1,
AMD,2022Q1,47,0.9007388478658782,0.9973222974145702,1,
AMD,2022Q2,100,0.9564099041893819,0.9990821313025491,1,
AMD,2022Q3,113,0.9890986732636522,0.9998112522348819,1,
AMD,2022Q4,161,0.9996338758794893,0.9999876981528457,1,
AMD,2023Q1,87,0.999738341814727,0.9999935150127,1,
AMD,2023Q2,111,0.9999304942016003,0.9999976820626136,1,
AMD,2023Q3,115,0.9999839093555585,0.9999987479546797,1,
AMD,2023Q4,146,0.9999988375147317,0.9999988375147317,1,
MRVL,2005Q1,62,3.310241875811652e-13,1.0401987759031426e-14,0,"filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
MRVL,2005Q2,60,6.199279064940433e-05,1.94899229353769e-06,0,
MRVL,2005Q3,61,7.109991762034481e-05,2.287658192961007e-06,0,
MRVL,2005Q4,76,0.0005351494139699839,2.0518425906737642e-05,0,
MRVL,2006Q1,84,0.0015981718814818775,0.0001760716830814613,0,
MRVL,2006Q2,71,0.0002899920412530545,0.0020688413026862247,0,
MRVL,2006Q3,119,0.14968156528270415,0.17745518925104076,0,
MRVL,2006Q4,94,0.046409729164022105,0.19731435309317766,0,
MRVL,2007Q1,90,0.010316347631529834,0.29576296627901394,0,
MRVL,2007Q2,143,0.8621053673721175,0.9960619692756726,1,
MRVL,2007Q3,153,0.9997216055614531,0.9999931268753544,1,
MRVL,2007Q4,191,0.999999722061307,0.9999999931383741,1,
MRVL,2008Q1,163,0.999988073341695,0.9999997056264511,1,
MRVL,2008Q2,190,0.9999996847036456,0.9999999922187612,1,
MRVL,2008Q3,184,0.9999992933291192,0.9999999824994462,1,
MRVL,2008Q4,147,0.999897298611859,0.9999973514819488,1,
MRVL,2009Q1,129,0.9988398768286564,0.9999652415163647,1,
MRVL,2009Q2,116,0.993142735677508,0.9998293532285171,1,
MRVL,2009Q3,153,0.9999441127020476,0.9999985611775178,1,
MRVL,2009Q4,128,0.9986749600087458,0.9999666217663049,1,
MRVL,2010Q1,134,0.9993846871728735,0.9999844270997874,1,
MRVL,2010Q2,132,0.9992123049618924,0.9999804185508627,1,
MRVL,2010Q3,142,0.9997936918518954,0.9999949012310296,1,
MRVL,2010Q4,155,0.9999647712028154,0.9999991208710411,1,
MRVL,2011Q1,138,0.999654905995493,0.9999914431707593,1,
MRVL,2011Q2,145,0.9998641086801761,0.9999966452608074,1,
MRVL,2011Q3,174,0.9999972740279113,0.999999932711662,1,
MRVL,2011Q4,172,0.9999964472258412,0.9999999123116975,1,
MRVL,2012Q1,192,0.9999997591665993,0.9999999940563953,1,
MRVL,2012Q2,189,0.9999996394210566,0.9999999911009922,1,
MRVL,2012Q3,241,0.9999999996704219,0.9999999999924398,1,
MRVL,2012Q4,288,0.9999999999994031,1.0000000000005684,1,
MRVL,2013Q1,226,0.9999999975191542,0.9999999999393481,1,
MRVL,2013Q2,214,0.9999999875285256,0.9999999996927613,1,
MRVL,2013Q3,224,0.9999999967529618,0.9999999999204761,1,
MRVL,2013Q4,259,0.9999999999707541,0.9999999999998863,1,
MRVL,2014Q1,264,0.9999999999850786,1.0000000000002274,1,
MRVL,2014Q2,228,0.9999999981045562,0.9999999999461693,1,
MRVL,2014Q3,119,0.9955731619122141,0.9998738793891001,1,
MRVL,2014Q4,145,0.9998465398791019,0.9998679903449122,1,
MRVL,2015Q1,129,0.9988380074472931,0.9736656619358703,1,
MRVL,2015Q2,97,0.9182399738746408,0.26433453212118035,0,
MRVL,2015Q3,75,0.13600026295314208,0.005374015244756323,0,
MRVL,2015Q4,85,0.012988085822861914,0.0005402087471295387,0,
MRVL,2016Q1,94,0.00913809569462583,0.0003682694898368134,0,
MRVL,2016Q2,93,0.007171658657439247,0.00029176507260136994,0,
MRVL,2016Q3,95,0.008819032878806244,0.000289145796825951,0,
MRVL,2016Q4,80,0.001242415839906871,3.904025019911637e-05,0,
MRVL,2017Q1,55,3.3225821288881834e-05,1.0454059266711155e-06,0,
MRVL,2017Q2,63,9.294822974094872e-05,2.9161931487097232e-06,0,
MRVL,2017Q3,52,2.1205314277386414e-05,6.647643757000537e-07,0,
MRVL,2017Q4,37,2.808964347577076e-06,8.81040662749178e-08,0,
MRVL,2018Q1,50,1.6142789886944212e-05,5.061934164837318e-07,0,
MRVL,2018Q2,46,9.428510900998311e-06,2.968616893510581e-07,0,
MRVL,2018Q3,64,0.00010623325130586944,3.4717936974640905e-06,0,
MRVL,2018Q4,81,0.0010497429321745155,3.306147540901924e-05,0,
MRVL,2019Q1,63,9.677187589003403e-05,3.040340183747806e-06,0,
MRVL,2019Q2,58,4.7550970999430665e-05,1.7336387233045672e-06,0,
MRVL,2019Q3,91,0.004010486247225122,0.00012651567129936406,0,
MRVL,2019Q4,60,7.209669533462703e-05,2.2674972141685555e-06,0,
MRVL,2020Q1,62,8.137387858787529e-05,2.5723632999574916e-06,0,
MRVL,2020Q2,69,0.00020878275930848422,6.552955186675265e-06,0,
MRVL,2020Q3,54,2.788387073164602e-05,8.814256565839735e-07,0,
MRVL,2020Q4,69,0.00020833216450312283,6.552913557025982e-06,0,
MRVL,2021Q1,62,8.18214720100769e-05,2.567386821362256e-06,0,
MRVL,2021Q2,53,2.4248875468398384e-05,7.603142374245848e-07,0,
MRVL,2021Q3,44,7.206097059489058e-06,2.2593253260387352e-07,0,
MRVL,2021Q4,43,6.294450811799806e-06,1.9779509056369366e-07,0,
MRVL,2022Q1,60,6.200858735908508e-05,1.946639415335009e-06,0,
MRVL,2022Q2,56,3.628010637594836e-05,1.1497838111030674e-06,0,
MRVL,2022Q3,71,0.00027274837072579973,8.55887166332498e-06,0,
MRVL,2022Q4,52,2.1359143877103614e-05,6.759674653930896e-07,0,
MRVL,2023Q1,70,0.00023827139022955177,7.473130107165635e-06,0,
MRVL,2023Q2,46,9.513264601005142e-06,2.9825255805623703e-07,0,
MRVL,2023Q3,41,4.809641020590215e-06,1.5315899469736935e-07,0,
MRVL,2023Q4,48,1.233471277524018e-05,1.233471277524018e-05,0,
MU,2005Q1,296,0.9999993554529797,0.9999999694094304,1,"filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
MU,2005Q2,389,0.9911758125459543,0.9996169997841715,1,
MU,2005Q3,647,0.9999994702003736,0.999998625257298,1,
MU,2005Q4,234,0.23456023803156056,0.7798259280593122,1,
MU,2006Q1,329,0.25062439586417734,0.8859722182675969,1,
